x,y,z,reading,B
-11,-11,4,481.31,0.048131
-11,-7,4,480.85,0.048085
-11,-3,4,480.5,0.04805
-11,1,4,480.14,0.048014
-11,5,4,479.87,0.047987
-11,9,4,479.67,0.047967
-11,13,4,479.51,0.047951
-7,-15,4,481.92,0.048192
-7,-11,4,481.62,0.048162
-7,-7,4,481.16,0.048116
-7,-3,4,480.83,0.048083
-7,1,4,480.51,0.048051
-7,5,4,480.28,0.048028
-7,9,4,480.12,0.048012
-7,13,4,479.89,0.047989
-7,17,4,479.79,0.047979
-3,-19,4,482.43,0.048243
-3,-15,4,482.34,0.048234
-3,-11,4,481.95,0.048195
-3,-7,4,481.69,0.048169
-3,-3,4,481.27,0.048127
-3,1,4,480.95,0.048095
-3,5,4,480.7,0.04807
-3,9,4,480.39,0.048039
-3,13,4,480.13,0.048013
-3,17,4,480.09,0.048009
1,-19,4,483.19,0.048319
1,-15,4,483.11,0.048311
1,-11,4,482.65,0.048265
1,-7,4,482.33,0.048233
1,-3,4,481.85,0.048185
1,1,4,481.47,0.048147
1,5,4,481.17,0.048117
1,9,4,480.85,0.048085
1,13,4,480.5,0.04805
1,17,4,480.4,0.04804
5,-15,4,484.2,0.04842
5,-11,4,483.77,0.048377
5,-7,4,483.27,0.048327
5,-3,4,482.7,0.04827
5,1,4,482.2,0.04822
5,5,4,481.7,0.04817
5,9,4,481.47,0.048147
5,13,4,481.2,0.04812
5,17,4,480.94,0.048094
9,-15,4,485.83,0.048583
9,-11,4,485.11,0.048511
9,-7,4,484.49,0.048449
9,-3,4,483.72,0.048372
9,1,4,483.11,0.048311
9,5,4,482.54,0.048254
9,9,4,482.06,0.048206
9,13,4,481.81,0.048181
9,17,4,481.45,0.048145
13,-11,4,486.79,0.048679
13,-7,4,485.87,0.048587
13,-3,4,484.95,0.048495
13,1,4,484.17,0.048417
13,5,4,483.42,0.048342
13,9,4,482.85,0.048285
13,13,4,482.46,0.048246
17,-7,4,487.92,0.048792
17,-3,4,486.62,0.048662
17,1,4,485.59,0.048559
17,5,4,484.63,0.048463
17,9,4,483.95,0.048395
-18,-2,8,479.04,0.047904
-18,2,8,479.65,0.047965
-14,-10,8,481.14,0.048114
-14,-6,8,480.76,0.048076
-14,-2,8,480.41,0.048041
-14,2,8,480.03,0.048003
-14,6,8,479.83,0.047983
-14,10,8,479.66,0.047966
-10,-14,8,481.72,0.048172
-10,-10,8,481.47,0.048147
-10,-6,8,481.14,0.048114
-10,-2,8,480.8,0.04808
-10,2,8,480.46,0.048046
-10,6,8,480.3,0.04803
-10,10,8,480.07,0.048007
-10,14,8,479.97,0.047997
-6,-14,8,482.1,0.04821
-6,-10,8,481.89,0.048189
-6,-6,8,481.57,0.048157
-6,-2,8,481.13,0.048113
-6,2,8,480.94,0.048094
-6,6,8,480.59,0.048059
-6,10,8,480.48,0.048048
-6,14,8,480.27,0.048027
-2,-18,8,482.58,0.048258
-2,-14,8,482.54,0.048254
-2,-10,8,482.34,0.048234
-2,-6,8,482.03,0.048203
-2,-2,8,481.66,0.048166
-2,2,8,481.38,0.048138
-2,6,8,481.13,0.048113
-2,10,8,480.87,0.048087
-2,14,8,480.68,0.048068
-2,18,8,480.48,0.048048
2,-18,8,483.43,0.048343
2,-14,8,483.37,0.048337
2,-10,8,483.2,0.04832
2,-6,8,482.76,0.048276
2,-2,8,482.39,0.048239
2,2,8,482.02,0.048202
2,6,8,481.66,0.048166
2,10,8,481.43,0.048143
2,14,8,481.17,0.048117
2,18,8,480.92,0.048092
6,-14,8,484.46,0.048446
6,-10,8,484.09,0.048409
6,-6,8,483.6,0.04836
6,-2,8,483.2,0.04832
6,2,8,482.71,0.048271
6,6,8,482.27,0.048227
6,10,8,481.9,0.04819
6,14,8,481.62,0.048162
10,-14,8,485.89,0.048589
10,-10,8,485.38,0.048538
10,-6,8,484.78,0.048478
10,-2,8,484.18,0.048418
10,2,8,483.62,0.048362
10,6,8,483.1,0.04831
10,10,8,482.57,0.048257
10,14,8,482.22,0.048222
14,-10,8,487.17,0.048717
14,-6,8,486.35,0.048635
14,-2,8,485.51,0.048551
14,2,8,484.76,0.048476
14,6,8,484.1,0.04841
14,10,8,483.55,0.048355
18,-2,8,487.1,0.04871
18,2,8,486.06,0.048606
-16,0,12,480.26,0.048026
-12,-8,12,481.48,0.048148
-12,-4,12,481.09,0.048109
-12,0,12,480.79,0.048079
-12,4,12,480.58,0.048058
-12,8,12,480.38,0.048038
-8,-12,12,482.02,0.048202
-8,-8,12,481.74,0.048174
-8,-4,12,481.45,0.048145
-8,0,12,481.14,0.048114
-8,4,12,481,0.0481
-8,8,12,480.78,0.048078
-8,12,12,480.52,0.048052
-4,-12,12,482.46,0.048246
-4,-8,12,482.25,0.048225
-4,-4,12,481.94,0.048194
-4,0,12,481.62,0.048162
-4,4,12,481.43,0.048143
-4,8,12,481.09,0.048109
-4,12,12,480.87,0.048087
0,-16,12,483.14,0.048314
0,-12,12,483,0.0483
0,-8,12,482.7,0.04827
0,-4,12,482.51,0.048251
0,0,12,482.22,0.048222
0,4,12,481.89,0.048189
0,8,12,481.52,0.048152
0,12,12,481.37,0.048137
0,16,12,481.08,0.048108
4,-12,12,483.89,0.048389
4,-8,12,483.54,0.048354
4,-4,12,483.29,0.048329
4,0,12,482.92,0.048292
4,4,12,482.46,0.048246
4,8,12,482.21,0.048221
4,12,12,481.96,0.048196
8,-12,12,485.19,0.048519
8,-8,12,484.69,0.048469
8,-4,12,484.21,0.048421
8,0,12,483.75,0.048375
8,4,12,483.33,0.048333
8,8,12,482.82,0.048282
8,12,12,482.51,0.048251
12,-8,12,485.89,0.048589
12,-4,12,485.32,0.048532
12,0,12,484.73,0.048473
12,4,12,484.16,0.048416
12,8,12,483.76,0.048376
16,0,12,485.99,0.048599
-12,0,16,481.21,0.048121
-8,-8,16,482,0.0482
-8,-4,16,481.73,0.048173
-8,0,16,481.53,0.048153
-8,4,16,481.24,0.048124
-8,8,16,481.05,0.048105
-4,-8,16,482.32,0.048232
-4,-4,16,482.17,0.048217
-4,0,16,481.97,0.048197
-4,4,16,481.66,0.048166
-4,8,16,481.31,0.048131
0,-12,16,483.04,0.048304
0,-8,16,482.84,0.048284
0,-4,16,482.64,0.048264
0,0,16,482.31,0.048231
0,4,16,482.09,0.048209
0,8,16,481.85,0.048185
0,12,16,481.67,0.048167
4,-8,16,483.57,0.048357
4,-4,16,483.33,0.048333
4,0,16,483.06,0.048306
4,4,16,482.74,0.048274
4,8,16,482.38,0.048238
8,-8,16,484.42,0.048442
8,-4,16,484.2,0.04842
8,0,16,483.79,0.048379
8,4,16,483.46,0.048346
8,8,16,483.05,0.048305
12,0,16,484.67,0.048467
0,0,20,482.62,0.048262
